gid,nombre,dependencia,distrito,uv,mz,barrio,direccion,equipamien,base_refer,area_educa,area_admin,area_servi,point_x,point_y
1,Biblioteca y Centro Cultural Primavera,GAMSCS,9,114,EQ,B/ Servicio Nacional de Camino,Av. 5to anillo y Av. Radial 13 C/1 y C/ San Miguel,ET,PLOT,"Sala Lectura,Uso Múltiple,Auditório,Exposición","Secretaria,Recepción,S. Reuniones,Baños,Cocinill","Baños niños, hombres, mujeres y discapacitado",-63.1742848784,-17.8320086398
2,Biblioteca y Centro Cultural El Pajonal,GAMSCS,3,46,EQ,B/ Pajonal,Av. 4to anillo San Urelio y Radial 12 Cond Sevilla,ET,PLOT,"Sala Lectura,Uso Múltiple,Auditório,Exposición","Secretaria,Recepción,S. Reuniones,Baños,Cocinill","Baños niños, hombres, mujeres y discapacitado",-63.1661011610,-17.8130811945
3,Biblioteca y Centro Cultural Minero,GAMSCS,8,142,EQ,B/ Minero,Av. La Campana,ET,PLOT,"Sala Lectura,Uso Múltiple,Auditório,Exposición","Secretaria,Recepción,S. Reuniones,Baños,Cocinill","Baños niños, hombres, mujeres y discapacitado",-63.1226499720,-17.8217718298
4,Biblioteca y Centro Cultural Villa 1ro de Mayo,GAMSCS,7,86,EQ,B/ Sucre,Av. 16 de Julio y C/10,ET,PLOT,"Sala Lectura,Uso Múltiple,Auditório,Exposición","Secretaria,Recepción,S. Reuniones,Baños,Cocinill","Baños niños, hombres, mujeres y discapacitado",-63.1277406391,-17.7992602730
5,Biblioteca y Centro Cultural Los Chacos,GAMSCS,6,144A,EQ,B/ Coca Cola,Av. Virgen de Lujan y Av. Los Chaco,ET,PLOT,"Sala Lectura,Uso Múltiple,Auditório,Exposición","Secretaria,Recepción,S. Reuniones,Baños,Cocinill","Baños niños, hombres, mujeres y discapacitado",-63.1214264070,-17.7493769753
6,Biblioteca y Centro Cultural  Alemania,GAMSCS,5,70,EQ,B/ Alemania,Av. Alemania  entre 4to y 5to anillo,ET,PLOT,"Sala Lectura,Uso Múltiple,Auditório,Exposición","Secretaria,Recepción,S. Reuniones,Baños,Cocinill","Baños niños, hombres, mujeres y discapacitado",-63.1573714044,-17.7399627137
7,Biblioteca y Centro Cultural Hamacas,GAMSCS,2,37,EQ,B/ Hamacas,Entre Av. Beni y Av. Cristo Redentor C/2 Oeste,ET,PLOT,"Sala Lectura,Uso Múltiple,Auditório,Exposición","Secretaria,Recepción,S. Reuniones,Baños,Cocinill","Baños niños, hombres, mujeres y discapacitado",-63.1743376205,-17.7551469315
8,Biblioteca y Centro Cultural Villa San Luis,GAMSCS,1,31,EQ,B/ Villa San Luis,Av. Roca y Coronado  C/Tucabaca y Bermejo,ET,PLOT,"Sala Lectura,Uso Múltiple,Auditório,Exposición","Secretaria,Recepción,S. Reuniones,Baños,Cocinill","Baños niños, hombres, mujeres y discapacitado",-63.2008557305,-17.7818791033
9,Biblioteca y Centro Cultural D-10,GAMSCS,10,137,31,B / Fabril,Av. Doble Via La Guardia,ET,PLOT,"Sala Lectura,Uso Múltiple,Auditório,Exposición","Secretaria,Recepción,S. Reuniones,Baños,Cocinill","Baños niños, hombres, mujeres y discapacitado",-63.2283098948,-17.8412469278
10,Biblioteca y Centro Cultural D-13,GAMSCS,13,El Recreo,EQ,B/ El Recreo,Urb.El Recreo,ET,PLOT,"Sala Lectura,Uso Múltiple,Auditório,Exposición","Secretaria,Recepción,S. Reuniones,Baños,Cocinill","Baños niños, hombres, mujeres y discapacitado",-63.0962815745,-17.8829135995
11,Biblioteca y Centro Cultural,GAMSCS,11,14,EQ,B / Bartos,Av. 1er anillo Av. Monseñr R. y Libertad,ET,PLOT,"Sala Lectura,Uso Múltiple,Auditório,Exposición","Secretaria,Recepción,S. Reuniones,Baños,Cocinill","Baños niños, hombres, mujeres y discapacitado",-63.1833369391,-17.7746624765
12,Biblioteca y Centro Cultural San Antonio,GAMSCS,6,141,25,B/ San Antonio,C/ 6 Frente a la cancha,,, , , ,-63.1216783340,-17.7759029660
13,Biblioteca y Centro Cultural,GAMSCS,3,44,25A,Estación Argentina, ,,, , , ,-63.1594707632,-17.8004844011
18,Biblioteca y Centro Cultural Toro Toro,GAMSCS,8,149,EQ,B/ Toro Toro,C/ Claustro Nonet,,, , , ,-63.1343919633,-17.8290742330
14,Biblioteca y Centro Cultural,GAMSCS,1,PSU5, ,B/Oriental,C/ Picaflor y C/ Guapuru,,, , , ,-63.1899120022,-17.7471559528
16,Biblioteca y Centro Cultural,GAMSCS,4,ET12,EQ,B/ Alto San Pedro,Av. Roque Aguilera 3er anillo Inter.,,, , , ,-63.1905490053,-17.8113133346
15,Biblioteca y Centro Cultural,GAMSCS,2,21,15,B/ Lazareto,C/ Corumba entre Cañada Larga y Pailón,,, , , ,-63.1599159612,-17.7838608346
17,Biblioteca y Centro Cultural,GAMSCS,4,48,21,B/La Morita,C/ Augusto Zambrana Terán y C/ Carmelo Soria,,, , , ,-63.1803664968,-17.8163159383
